path	relative_path	exists	file_size	sha256	category	purpose	backend	claim_level	source_dependency	large_file	notes
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_ankle_pitch_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_ankle_pitch_link.STL	True	71184	15be426539ec1be70246d4d82a168806db64a41301af8b35c197a33348c787a9	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_ankle_roll_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_ankle_roll_link.STL	True	653784	4b66222ea56653e627711b56d0a8949b4920da5df091da0ceb343f54e884e3a5	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_elbow_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_elbow_link.STL	True	88784	1be925d7aa268bb8fddf5362b9173066890c7d32092c05638608126e59d1e2ab	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_index_0_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_index_0_link.STL	True	475984	12ab4300c95e437e834f9aef772b3b431c671bf34338930b52ad11aef73bbd0d	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_index_1_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_index_1_link.STL	True	1521784	c9c34efce4563cacdcfd29fc838a982976d40f5442c71219811dcbbf3923a33d	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_middle_0_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_middle_0_link.STL	True	475984	12ab4300c95e437e834f9aef772b3b431c671bf34338930b52ad11aef73bbd0d	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_middle_1_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_middle_1_link.STL	True	1521784	c9c34efce4563cacdcfd29fc838a982976d40f5442c71219811dcbbf3923a33d	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_palm_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_palm_link.STL	True	2140184	86c0b231cc44477d64a6493e5a427ba16617a00738112dd187c652675b086fb9	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_thumb_0_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_thumb_0_link.STL	True	8884	544298d0ea1088f5b276a10cc6a6a9e533efdd91594955fdc956c46211d07f83	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_thumb_1_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_thumb_1_link.STL	True	475984	0a9a820da8dd10f298778b714f1364216e8a5976f4fd3a05689ea26327d44bf6	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hand_thumb_2_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hand_thumb_2_link.STL	True	1521784	3f1bfb37668e8f61801c8d25f171fa1949e08666be86c67acad7e0079937cc45	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hip_pitch_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hip_pitch_link.STL	True	181284	e4f3c99d7f4a7d34eadbef9461fc66e3486cb5442db1ec50c86317d459f1a9c6	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hip_roll_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hip_roll_link.STL	True	192684	4c254ef66a356f492947f360dd931965477b631e3fcc841f91ccc46d945d54f6	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_hip_yaw_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_hip_yaw_link.STL	True	296284	e479c2936ca2057e9eb2f7dff6c189b7419d7b8484dea0b298cbb36a2a6aa668	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_knee_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_knee_link.STL	True	852284	63c4008449c9bbe701a6e2b557b7a252e90cf3a5abcf54cee46862b9a69f8ec8	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_rubber_hand.STL	assets/work_g1/gmr_unitree_g1/meshes/right_rubber_hand.STL	True	2192684	99533b778bca6246144fa511bb9d4e555e075c641f2a0251e04372869cd99d67	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_shoulder_pitch_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_shoulder_pitch_link.STL	True	176784	24cdb387e0128dfe602770a81c56cdce3a0181d34d039a11d1aaf8819b7b8c02	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_shoulder_roll_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_shoulder_roll_link.STL	True	401884	962b97c48f9ce9e8399f45dd9522e0865d19aa9fd299406b2d475a8fc4a53e81	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_shoulder_yaw_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_shoulder_yaw_link.STL	True	249984	a0b76489271da0c72461a344c9ffb0f0c6e64f019ea5014c1624886c442a2fe5	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_wrist_pitch_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_wrist_pitch_link.STL	True	79584	d22f8f3b3127f15a63e5be1ee273cd5075786c3142f1c3d9f76cbf43d2a26477	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_wrist_roll_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_wrist_roll_link.STL	True	356084	a7ee9212ff5b94d6cb7f52bb1bbf3f352194d5b598acff74f4c77d340c5b344f	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_wrist_roll_rubber_hand.STL	assets/work_g1/gmr_unitree_g1/meshes/right_wrist_roll_rubber_hand.STL	True	3481584	0729aff1ac4356f9314de13a46906267642e58bc47f0d8a7f17f6590a6242ccf	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/right_wrist_yaw_link.STL	assets/work_g1/gmr_unitree_g1/meshes/right_wrist_yaw_link.STL	True	341484	bc9dece2d12509707e0057ba2e48df8f3d56db0c79410212963a25e8a50f61a6	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_L_link.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_L_link.STL	True	203584	82be7f93e85b3d303a1d1e1847e2c916939bd61c424ed1ebd28691ec33909dd1	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_L_rod_link.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_L_rod_link.STL	True	74884	c10de1effa7ea797ac268006aa2a739036c7e1f326b2012d711ee2c20c5a6e96	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_R_link.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_R_link.STL	True	203584	54ded433a3a0c76027365856fdbd55215643de88846f7d436598a4071e682725	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_R_rod_link.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_constraint_R_rod_link.STL	True	74884	cb83fd38a9f06c99e3f301c70f12d94ae770a8f0cf9501f83580a27f908990b4	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_link.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_link.STL	True	2232984	e96d023f0368a4e3450b86ca5d4f10227d8141156a373e7da8cb3c93266523e0	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_link_23dof_rev_1_0.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_link_23dof_rev_1_0.STL	True	7825434	3cd0d56fde14b73c1623304684805029971c4f84b596f9914e823ca70a107fd2	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/torso_link_rev_1_0.STL	assets/work_g1/gmr_unitree_g1/meshes/torso_link_rev_1_0.STL	True	2570584	11ddb46f2098efbbd8816b1d65893632d8e78be936376c7cdcd6771899ccc723	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_constraint_L.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_constraint_L.STL	True	114684	8ebafdcb4de6871113f0ca2c356618d6e46b1d50f6c0bf9e37f47b9d8e100d99	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_constraint_R.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_constraint_R.STL	True	114684	791902a291ffbd35ab97383b7b44ea5d975de7c80eef838797c970790b382ca9	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_roll_link.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_roll_link.STL	True	24184	34f0aa73f41131230be4d25876c944fdf6c24d62553f199ff8b980c15e8913df	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_roll_link_rev_1_0.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_roll_link_rev_1_0.STL	True	85884	b67c347a05abc3e8ddae600d98a082bee273bb39f8e651647708b0a7140a8a97	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_support_link.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_support_link.STL	True	150484	1fae9e1bb609848a1667d32eed8d6083ae443538a306843056a2a660f1b2926a	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_yaw_link.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_yaw_link.STL	True	336284	2883f20e03f09b669b5b4ce10677ee6b5191c0934b584d7cbaef2d0662856ffb	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/gmr_unitree_g1/meshes/waist_yaw_link_rev_1_0.STL	assets/work_g1/gmr_unitree_g1/meshes/waist_yaw_link_rev_1_0.STL	True	619984	ec6db442b11f25eed898b5add07940c85d804f300de24dcbd264ccd8be7d554c	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR/assets/unitree_g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/29dof_official.urdf	assets/work_g1/pbhc_g1/29dof_official.urdf	True	36227	824ce02c2c1e489aa8dece47a10fe02d1872289c0e6d01ba51abd291e66b7b2c	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/dof_axis.npy	assets/work_g1/pbhc_g1/dof_axis.npy	True	680	527cd4dfbfa214792f8ff65425e7f35c953e0f1ba0c888653bb4ff60baae8a1b	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_23dof_lock_wrist.urdf	assets/work_g1/pbhc_g1/g1_23dof_lock_wrist.urdf	True	40311	3ed3fc32b66e6389667f780726cdb9ee044e2d579638347a1612d130c26ae546	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_23dof_lock_wrist.xml	assets/work_g1/pbhc_g1/g1_23dof_lock_wrist.xml	True	23243	2757fe8ba90c045f0ae05a6a715463f8ff8b58a650a9c7a6575a50e54520d411	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_23dof_lock_wrist_fitmotionONLY.xml	assets/work_g1/pbhc_g1/g1_23dof_lock_wrist_fitmotionONLY.xml	True	20707	318bd375bf32787286cff3e18ea5d4a2bdc8383e2747c42e2224cb3b766eee0f	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_23dof_lock_wrist_rev_2.urdf	assets/work_g1/pbhc_g1/g1_23dof_lock_wrist_rev_2.urdf	True	40452	1147dd7b4fca5d14dd24077f7870c3b087cadead912288f78d33fdb6aabe192b	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_23dof_lock_wrist_rev_2.xml	assets/work_g1/pbhc_g1/g1_23dof_lock_wrist_rev_2.xml	True	33515	9a3691b75858661a0e84915ee6dc4756b2abdd64d00cbffeef84fb8bf90723ea	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_29dof_rev_1_0.xml	assets/work_g1/pbhc_g1/g1_29dof_rev_1_0.xml	True	26143	7c49b82389b4d50d25c1c8637cbe44a7444ac02b80c02d8629b9ea50bf92a63a	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/g1_29dof_rev_1_0_with_toe.xml	assets/work_g1/pbhc_g1/g1_29dof_rev_1_0_with_toe.xml	True	27252	6c9048052b0bf6df33b8592c4a934adfcf655ba25111a77d26a2f03233faa641	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/meshes/head_link.STL	assets/work_g1/pbhc_g1/meshes/head_link.STL	True	932784	005fb67fbd3eff94aa8bf4a6e83238174e9f91b6721f7111594322f223724411	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/meshes/left_ankle_pitch_link.STL	assets/work_g1/pbhc_g1/meshes/left_ankle_pitch_link.STL	True	71184	d49e3abc6f5b12e532062cd575b87b5ef40cd2a3fc18f54a1ca5bba4f773d51d	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/meshes/left_ankle_roll_link.STL	assets/work_g1/pbhc_g1/meshes/left_ankle_roll_link.STL	True	653384	c4092af943141d4d9f74232f3cfa345afc6565f46a077793b8ae0e68b39dc33f	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/meshes/left_elbow_link.STL	assets/work_g1/pbhc_g1/meshes/left_elbow_link.STL	True	88784	fa752198accd104d5c4c3a01382e45165b944fbbc5acce085059223324e5bed3	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/meshes/left_elbow_link_merge.STL	assets/work_g1/pbhc_g1/meshes/left_elbow_link_merge.STL	True	3136784	73c8adc6346b900eb6a2ae7159e25dfda1be60cd98affe13536e01ab33a6c1de	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
/mnt/infini-data/test/BeyondMimic/mujoco_mp4/assets/work_g1/pbhc_g1/meshes/left_hand_index_0_link.STL	assets/work_g1/pbhc_g1/meshes/left_hand_index_0_link.STL	True	475984	6b35f2f77211d5a366f0b9a4e47c4ee35e536731266f1a34e9efa12db579b892	asset	Local work copy of G1 MuJoCo robot assets	not_applicable	MuJoCo G1 asset import/render smoke support; not policy, not IsaacLab, not real robot	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC/description/robots/g1	False	excluded from git by package policy
